NYSE,AXA,03.01.00,69.62,70.12,68.62,69,77800,25.68
NYSE,AXE,03.01.00,20.75,20.75,20,20.06,186600,19.03
NYSE,AXL,03.01.00,12.25,12.25,11.5,12,26200,10.54
NYSE,AXP,03.01.00,164.5,164.5,156,157.25,5664300,40.45
NYSE,AXR,03.01.00,4.69,4.69,4.69,4.69,200,4.04
NYSE,AYE,03.01.00,27.12,27.12,25.75,25.94,193700,21.79
NYSE,AZN,03.01.00,40.97,40.97,40.47,40.72,172500,29.14
NYSE,AZO,03.01.00,32.12,32.5,30.5,30.56,441000,30.56
NYSE,AZZ,03.01.00,12.25,12.44,12.06,12.06,61200,5.83
NYSE,BA,03.01.00,41.44,41.69,39.81,40.19,2638200,33.07
NYSE,BAC,03.01.00,50.25,50.25,48,48.44,13705800,16.02
NYSE,BAK,03.01.00,15.88,15.88,15.75,15.75,1000,5.52
NYSE,BAM,03.01.00,19.89,19.89,19.52,19.89,13000,4.12
NYSE,BAP,03.01.00,11.75,11.75,11.5,11.75,29300,8.83
NYSE,BAX,03.01.00,61.56,62.13,60.31,61.38,2106600,25.05
NYSE,BBI,03.01.00,13.42,13.42,12.36,12.42,353900,7.37
NYSE,BBT,03.01.00,26.91,26.97,25.42,25.61,571300,17.03
NYSE,BBV,03.01.00,14.38,14.63,14.38,14.38,41100,9.73
NYSE,BBVA,03.01.00,14.38,14.63,14.38,14.38,41100,9.65
NYSE,BBX,03.01.00,4.25,4.5,4.19,4.25,29300,13.92
NYSE,BBY,03.01.00,57.75,57.88,54,57.75,19444500,23.96
NYSE,BC,03.01.00,22,22.09,21.69,21.94,286700,18.08
NYSE,BCE,03.01.00,91.25,92.74,89.06,90.06,567200,13.28
NYSE,BCO,03.01.00,21.72,21.72,20.97,21.35,190300,20.01
NYSE,BCR,03.01.00,52.85,52.97,50.42,50.73,385000,22.64
NYSE,BCS,03.01.00,116,116,114.25,115.5,12400,18.98
NYSE,BDC,03.01.00,23.12,23.38,22.75,22.75,77200,29.06
NYSE,BDF,03.01.00,16.06,16.12,16.06,16.12,4100,7.95
NYSE,BDK,03.01.00,52.18,52.18,49.81,50.13,683300,42.38
NYSE,BDN,03.01.00,16.25,16.31,15.94,16,61300,7.69
NYSE,BDX,03.01.00,26.11,26.17,25.54,26.11,776300,22.82
NYSE,BEC,03.01.00,50.84,51.09,48.85,50.22,225600,22.81
NYSE,BEN,03.01.00,32,32.44,31.12,31.69,396000,28.7
NYSE,BEZ,03.01.00,18.04,18.6,17.36,18.54,430900,14.56
NYSE,BFR,03.01.00,23.56,23.87,23.12,23.19,87200,18.72
NYSE,BFS,03.01.00,14.06,14.19,14.06,14.13,11200,7.85
